iter	Passed	Remaining
0	145	145536
1	147	73819
2	150	50132
3	153	38145
4	155	30867
5	157	26099
6	159	22561
7	160	19905
8	162	17854
9	163	16202
10	165	14855
11	170	14012
12	171	13040
13	173	12210
14	175	11502
15	176	10873
16	178	10316
17	180	9823
18	181	9379
19	185	9078
20	187	8732
21	189	8402
22	190	8096
23	192	7829
24	194	7580
25	196	7346
26	200	7227
27	202	7025
28	204	6832
29	205	6654
30	207	6486
31	209	6326
32	210	6180
33	215	6119
34	217	5992
35	219	5874
36	220	5749
37	222	5631
38	224	5523
39	225	5420
40	230	5392
41	232	5299
42	233	5207
43	235	5122
44	237	5040
45	239	4964
46	245	4971
47	247	4900
48	248	4829
49	250	4759
50	252	4697
51	254	4637
52	256	4578
53	260	4560
54	262	4516
55	264	4464
56	266	4408
57	268	4354
58	269	4305
59	273	4291
60	275	4246
61	277	4201
62	279	4161
63	281	4119
64	283	4079
65	285	4038
66	290	4046
67	292	4006
68	294	3968
69	311	4139
70	315	4125
71	317	4092
72	324	4118
73	326	4089
74	328	4055
75	330	4019
76	332	3985
77	336	3973
78	338	3946
79	340	3916
80	342	3882
81	345	3863
82	347	3844
83	350	3819
84	355	3826
85	357	3799
86	359	3773
87	363	3770
88	366	3748
89	370	3742
90	372	3717
91	374	3692
92	376	3671
93	386	3727
94	390	3717
95	399	3763
96	404	3761
97	405	3736
98	412	3754
99	414	3733
100	417	3718
101	420	3701
102	422	3683
103	428	3689
104	430	3671
105	433	3654
106	435	3635
107	438	3621
108	444	3633
109	447	3618
110	449	3600
111	451	3581
112	458	3602
113	461	3587
114	465	3583
115	467	3564
116	471	3554
117	474	3549
118	476	3530
119	478	3509
120	482	3506
121	489	3519
122	491	3502
123	494	3493
124	497	3482
125	502	3486
126	504	3471
127	507	3457
128	509	3440
129	511	3424
130	514	3415
131	526	3463
132	529	3450
133	533	3444
134	538	3451
135	540	3436
136	545	3436
137	549	3433
138	555	3438
139	560	3444
140	575	3504
141	576	3485
142	581	3484
143	587	3490
144	592	3495
145	598	3503
146	600	3486
147	620	3571
148	649	3708
149	651	3691
150	661	3716
151	663	3701
152	665	3684
153	667	3665
154	669	3647
155	670	3630
156	677	3640
157	679	3623
158	682	3608
159	685	3597
160	686	3577
161	689	3568
162	692	3553
163	694	3540
164	698	3535
165	700	3521
166	706	3524
167	709	3511
168	711	3500
169	714	3486
170	715	3470
171	723	3483
172	725	3470
173	729	3462
174	736	3471
175	741	3473
176	743	3458
177	745	3442
178	750	3441
179	753	3430
180	754	3415
181	756	3401
182	758	3386
183	764	3391
184	766	3377
185	770	3372
186	776	3374
187	782	3379
188	784	3365
189	785	3350
190	787	3336
191	791	3331
192	796	3329
193	798	3319
194	800	3306
195	802	3292
196	804	3279
197	807	3271
198	812	3270
199	814	3257
200	816	3244
201	818	3233
202	829	3254
203	834	3254
204	838	3249
205	841	3245
206	844	3233
207	845	3220
208	847	3208
209	849	3195
210	851	3183
211	852	3170
212	858	3171
213	863	3172
214	866	3162
215	868	3152
216	870	3140
217	877	3146
218	878	3134
219	880	3121
220	882	3109
221	883	3097
222	885	3085
223	890	3086
224	893	3076
225	894	3064
226	896	3053
227	898	3042
228	900	3032
229	903	3026
230	906	3017
231	908	3007
232	915	3013
233	919	3011
234	922	3001
235	925	2995
236	927	2985
237	929	2976
238	938	2987
239	940	2977
240	942	2968
241	944	2957
242	945	2946
243	947	2935
244	950	2928
245	952	2918
246	954	2908
247	957	2903
248	959	2895
249	961	2885
250	965	2882
251	967	2872
252	970	2865
253	973	2857
254	977	2856
255	986	2868
256	989	2860
257	991	2852
258	999	2858
259	1001	2851
260	1004	2844
261	1006	2835
262	1009	2828
263	1016	2834
264	1018	2825
265	1020	2816
266	1022	2808
267	1031	2816
268	1034	2811
269	1036	2802
270	1038	2793
271	1042	2789
272	1045	2783
273	1047	2775
274	1049	2767
275	1051	2758
276	1053	2749
277	1059	2751
278	1061	2742
279	1062	2733
280	1064	2724
281	1067	2718
282	1072	2718
283	1075	2711
284	1077	2703
285	1083	2704
286	1088	2705
287	1091	2698
288	1095	2694
289	1097	2686
290	1103	2688
291	1107	2686
292	1118	2699
293	1122	2696
294	1124	2688
295	1127	2681
296	1133	2682
297	1135	2675
298	1137	2667
299	1140	2661
300	1142	2653
301	1144	2646
302	1149	2645
303	1158	2651
304	1160	2644
305	1173	2662
306	1175	2654
307	1198	2693
308	1206	2698
309	1208	2690
310	1214	2689
311	1217	2685
312	1220	2677
313	1222	2671
314	1229	2673
315	1231	2666
316	1235	2663
317	1237	2655
318	1239	2646
319	1244	2643
320	1246	2635
321	1249	2630
322	1255	2632
323	1262	2634
324	1264	2627
325	1267	2620
326	1270	2614
327	1278	2618
328	1280	2611
329	1282	2603
330	1284	2596
331	1286	2588
332	1292	2588
333	1294	2582
334	1297	2574
335	1299	2567
336	1302	2561
337	1311	2568
338	1333	2600
339	1336	2594
340	1339	2589
341	1346	2589
342	1349	2584
343	1355	2584
344	1357	2577
345	1359	2569
346	1365	2569
347	1369	2565
348	1374	2563
349	1378	2559
350	1380	2553
351	1389	2557
352	1391	2550
353	1395	2547
354	1397	2539
355	1402	2537
356	1404	2530
357	1407	2523
358	1408	2515
359	1410	2507
360	1412	2499
361	1416	2496
362	1418	2489
363	1421	2483
364	1423	2476
365	1425	2468
366	1427	2462
367	1432	2460
368	1435	2454
369	1437	2447
370	1439	2440
371	1441	2433
372	1443	2426
373	1447	2423
374	1449	2416
375	1451	2409
376	1456	2406
377	1458	2400
378	1464	2400
379	1469	2397
380	1471	2391
381	1491	2412
382	1495	2409
383	1498	2404
384	1500	2397
385	1504	2392
386	1539	2438
387	1542	2433
388	1544	2426
389	1547	2420
390	1549	2412
391	1550	2405
392	1552	2397
393	1554	2390
394	1556	2384
395	1558	2377
396	1560	2370
397	1562	2363
398	1564	2355
399	1565	2348
400	1567	2341
401	1569	2334
402	1575	2334
403	1577	2327
404	1579	2319
405	1580	2312
406	1582	2306
407	1584	2298
408	1586	2293
409	1588	2286
410	1591	2280
411	1595	2276
412	1597	2270
413	1598	2263
414	1601	2257
415	1603	2251
416	1605	2244
417	1607	2237
418	1609	2231
419	1610	2224
420	1612	2217
421	1614	2210
422	1618	2207
423	1621	2202
424	1623	2196
425	1625	2190
426	1627	2183
427	1628	2176
428	1636	2178
429	1639	2172
430	1642	2168
431	1653	2173
432	1655	2167
433	1657	2162
434	1660	2156
435	1665	2153
436	1668	2149
437	1670	2142
438	1674	2139
439	1676	2133
440	1681	2131
441	1684	2126
442	1686	2119
443	1688	2114
444	1691	2110
445	1697	2108
446	1699	2102
447	1701	2096
448	1703	2090
449	1708	2088
450	1712	2085
451	1714	2078
452	1716	2072
453	1722	2072
454	1727	2069
455	1730	2064
456	1732	2058
457	1738	2057
458	1741	2052
459	1744	2047
460	1746	2042
461	1748	2036
462	1750	2030
463	1752	2024
464	1754	2018
465	1759	2016
466	1761	2010
467	1763	2004
468	1765	1999
469	1768	1994
470	1770	1988
471	1773	1983
472	1775	1978
473	1777	1972
474	1779	1966
475	1781	1960
476	1783	1955
477	1790	1955
478	1793	1950
479	1795	1945
480	1798	1940
481	1800	1934
482	1804	1931
483	1806	1925
484	1808	1919
485	1809	1914
486	1811	1908
487	1813	1902
488	1815	1896
489	1818	1893
490	1821	1888
491	1822	1882
492	1824	1876
493	1827	1871
494	1829	1866
495	1833	1862
496	1836	1858
497	1838	1853
498	1840	1847
499	1841	1841
500	1843	1836
501	1845	1830
502	1851	1829
503	1853	1824
504	1855	1818
505	1856	1812
506	1858	1807
507	1860	1801
508	1864	1798
509	1866	1793
510	1868	1787
511	1869	1782
512	1871	1776
513	1873	1771
514	1874	1765
515	1877	1760
516	1879	1756
517	1881	1750
518	1882	1745
519	1884	1739
520	1886	1734
521	1888	1729
522	1889	1723
523	1893	1720
524	1895	1715
525	1897	1710
526	1899	1704
527	1901	1699
528	1903	1694
529	1909	1693
530	1913	1689
531	1915	1684
532	1917	1679
533	1924	1679
534	1927	1674
535	1928	1669
536	1931	1665
537	1933	1660
538	1935	1655
539	1938	1651
540	1940	1646
541	1942	1641
542	1945	1637
543	1948	1633
544	1950	1628
545	1956	1626
546	1959	1622
547	1961	1618
548	1964	1613
549	1968	1610
550	1971	1606
551	1974	1602
552	1978	1599
553	1984	1597
554	1987	1593
555	1989	1588
556	1995	1587
557	2004	1587
558	2006	1582
559	2008	1577
560	2010	1573
561	2016	1571
562	2018	1567
563	2021	1562
564	2022	1557
565	2024	1552
566	2030	1550
567	2035	1548
568	2037	1543
569	2039	1538
570	2040	1533
571	2044	1530
572	2048	1526
573	2049	1521
574	2051	1516
575	2054	1512
576	2055	1507
577	2060	1504
578	2063	1500
579	2065	1495
580	2068	1491
581	2070	1486
582	2071	1481
583	2077	1479
584	2080	1475
585	2082	1471
586	2084	1466
587	2086	1461
588	2089	1457
589	2091	1453
590	2093	1448
591	2095	1444
592	2096	1439
593	2107	1440
594	2110	1436
595	2112	1432
596	2117	1429
597	2125	1429
598	2127	1424
599	2133	1422
600	2137	1419
601	2140	1414
602	2142	1410
603	2143	1405
604	2145	1401
605	2147	1396
606	2149	1391
607	2153	1388
608	2158	1385
609	2160	1381
610	2169	1380
611	2172	1377
612	2174	1372
613	2176	1368
614	2178	1363
615	2182	1360
616	2184	1355
617	2185	1351
618	2187	1346
619	2189	1341
620	2190	1337
621	2192	1332
622	2196	1329
623	2198	1324
624	2200	1320
625	2202	1315
626	2203	1311
627	2205	1306
628	2207	1301
629	2209	1297
630	2213	1294
631	2215	1289
632	2216	1285
633	2218	1280
634	2220	1276
635	2221	1271
636	2223	1266
637	2228	1264
638	2230	1260
639	2232	1255
640	2234	1251
641	2237	1247
642	2239	1243
643	2242	1239
644	2244	1235
645	2246	1231
646	2250	1227
647	2252	1223
648	2259	1221
649	2261	1217
650	2265	1214
651	2268	1210
652	2279	1211
653	2281	1206
654	2283	1202
655	2285	1198
656	2294	1197
657	2297	1194
658	2300	1190
659	2310	1190
660	2312	1185
661	2315	1182
662	2317	1178
663	2322	1175
664	2324	1170
665	2326	1166
666	2328	1162
667	2330	1158
668	2332	1154
669	2337	1151
670	2340	1147
671	2343	1143
672	2345	1139
673	2347	1135
674	2351	1132
675	2354	1128
676	2356	1124
677	2358	1120
678	2361	1116
679	2363	1112
680	2368	1109
681	2370	1105
682	2372	1101
683	2374	1097
684	2376	1092
685	2380	1089
686	2382	1085
687	2384	1081
688	2386	1077
689	2388	1073
690	2389	1068
691	2391	1064
692	2393	1060
693	2398	1057
694	2401	1054
695	2406	1051
696	2409	1047
697	2413	1044
698	2415	1040
699	2417	1036
700	2419	1032
701	2435	1033
702	2437	1029
703	2439	1025
704	2448	1024
705	2454	1022
706	2465	1021
707	2467	1017
708	2469	1013
709	2471	1009
710	2478	1007
711	2481	1003
712	2484	999
713	2486	996
714	2489	992
715	2495	989
716	2509	990
717	2512	986
718	2517	983
719	2523	981
720	2525	977
721	2527	973
722	2529	969
723	2531	965
724	2533	960
725	2534	956
726	2539	953
727	2541	949
728	2543	945
729	2544	941
730	2546	936
731	2547	932
732	2549	928
733	2550	924
734	2553	920
735	2555	916
736	2557	912
737	2558	908
738	2560	904
739	2561	900
740	2563	896
741	2565	892
742	2568	888
743	2570	884
744	2571	880
745	2573	876
746	2575	872
747	2576	868
748	2578	864
749	2582	860
750	2584	856
751	2585	852
752	2587	848
753	2589	844
754	2590	840
755	2592	836
756	2594	832
757	2598	829
758	2601	825
759	2602	821
760	2604	817
761	2605	813
762	2607	809
763	2609	805
764	2614	803
765	2616	799
766	2618	795
767	2620	791
768	2621	787
769	2623	783
770	2625	779
771	2629	776
772	2631	772
773	2633	769
774	2635	765
775	2637	761
776	2639	757
777	2642	754
778	2644	750
779	2646	746
780	2649	742
781	2652	739
782	2654	735
783	2658	732
784	2660	728
785	2662	724
786	2664	721
787	2668	717
788	2670	714
789	2673	710
790	2675	706
791	2677	703
792	2679	699
793	2682	696
794	2687	692
795	2690	689
796	2692	685
797	2695	682
798	2696	678
799	2700	675
800	2703	671
801	2705	668
802	2709	664
803	2710	660
804	2712	657
805	2718	654
806	2721	650
807	2723	647
808	2726	643
809	2727	639
810	2731	636
811	2733	632
812	2735	629
813	2737	625
814	2738	621
815	2740	617
816	2746	615
817	2748	611
818	2750	607
819	2752	604
820	2753	600
821	2755	596
822	2756	592
823	2758	589
824	2762	585
825	2764	582
826	2766	578
827	2768	575
828	2770	571
829	2771	567
830	2783	566
831	2785	562
832	2787	558
833	2789	555
834	2792	551
835	2794	548
836	2797	544
837	2800	541
838	2801	537
839	2803	533
840	2804	530
841	2808	527
842	2810	523
843	2812	519
844	2813	516
845	2815	512
846	2817	508
847	2819	505
848	2822	501
849	2824	498
850	2826	494
851	2827	491
852	2829	487
853	2831	483
854	2832	480
855	2834	476
856	2838	473
857	2840	470
858	2841	466
859	2843	462
860	2845	459
861	2847	455
862	2849	452
863	2853	449
864	2855	445
865	2856	442
866	2858	438
867	2860	434
868	2861	431
869	2863	427
870	2865	424
871	2868	421
872	2871	417
873	2873	414
874	2874	410
875	2876	407
876	2877	403
877	2879	400
878	2882	396
879	2884	393
880	2886	389
881	2888	386
882	2889	382
883	2891	379
884	2892	375
885	2894	372
886	2897	369
887	2899	365
888	2901	362
889	2902	358
890	2904	355
891	2905	351
892	2907	348
893	2909	344
894	2911	341
895	2914	338
896	2916	334
897	2918	331
898	2919	328
899	2921	324
900	2923	321
901	2924	317
902	2927	314
903	2929	311
904	2931	307
905	2932	304
906	2934	300
907	2936	297
908	2938	294
909	2940	290
910	2943	287
911	2945	284
912	2947	280
913	2949	277
914	2950	274
915	2952	270
916	2954	267
917	2958	264
918	2959	260
919	2961	257
920	2962	254
921	2964	250
922	2966	247
923	2967	244
924	2969	240
925	2972	237
926	2974	234
927	2976	230
928	2977	227
929	2979	224
930	2980	220
931	2982	217
932	2984	214
933	3004	212
934	3006	208
935	3007	205
936	3009	202
937	3010	199
938	3012	195
939	3014	192
940	3015	189
941	3019	185
942	3021	182
943	3023	179
944	3024	176
945	3026	172
946	3027	169
947	3029	166
948	3031	162
949	3035	159
950	3037	156
951	3039	153
952	3041	149
953	3042	146
954	3044	143
955	3047	140
956	3051	137
957	3053	133
958	3054	130
959	3056	127
960	3058	124
961	3059	120
962	3061	117
963	3065	114
964	3067	111
965	3069	108
966	3071	104
967	3072	101
968	3074	98
969	3076	95
970	3080	92
971	3082	88
972	3083	85
973	3085	82
974	3086	79
975	3088	75
976	3090	72
977	3091	69
978	3095	66
979	3097	63
980	3099	60
981	3101	56
982	3103	53
983	3104	50
984	3107	47
985	3110	44
986	3112	40
987	3114	37
988	3116	34
989	3118	31
990	3119	28
